 0, udp, private, SF
 0, udp, private, SF
 0, tcp, http, SF
 0, tcp, http, SF
 0, tcp, http, SF
 0, tcp, http, SF
 0, tcp, http, SF
 0, udp, private, SF
 0, tcp, http, SF
 0, tcp, auth, SF
 0, udp, private, SF
 0, udp, private, SF
 0, tcp, smtp, SF
 0, udp, private, SF
 0, udp, private, SF
 0, udp, private, SF
 0, udp, private, SF
 0, udp, private, SF
 0, udp, private, SF
 1, tcp, smtp, SF
 0, tcp, http, SF
 0, tcp, http, SF
 0, tcp, http, SF
 0, udp, private, SF
 0, udp, private, SF
 0, tcp, http, SF
 0, udp, private, SF
 0, tcp, http, SF
 0, tcp, http, SF
 0, tcp, http, SF
 0, tcp, ftp_data, SF
 0, udp, private, SF
 0, tcp, ftp_data, SF
 0, tcp, ftp_data, SF
 0, udp, private, SF
 0, udp, private, SF
 0, udp, private, SF
 0, udp, private, SF
 0, tcp, smtp, SF
 0, tcp, http, SF
 0, udp, private, SF
 0, tcp, http, SF
 1, tcp, smtp, SF
 20, tcp, ftp, SF
 0, tcp, http, SF
 0, tcp, http, SF
 0, tcp, http, SF
 0, tcp, http, SF
 0, tcp, http, SF
 0, tcp, ftp_data, SF
 0, tcp, http, SF
 0, udp, private, SF
 0, tcp, http, SF
 0, udp, private, SF
 0, udp, private, SF
 0, tcp, http, SF
 0, udp, private, SF
 0, tcp, http, SF
 0, udp, private, SF
 0, tcp, smtp, SF
